المادة,علوم تجريبية,رياضيات,تقني رياضي,تسيير و اقتصاد,لغات أجنبية,آداب و فلسفة
اللغة العربية,3,3,2,3,5,6
اللغة الفرنسية,2,2,2,2,5,3
اللغة الإنجليزية,2,2,2,2,5,3
التربية الإسلامية,2,2,2,2,2,2
التاريخ والجغرافيا,2,2,2,4,3,4
الرياضيات,5,7,6,5,2,2
الفيزياء,5,2,6,NA,NA,NA
العلوم الطبيعية,6,2,NA,NA,NA,NA
الفلسفة,2,2,2,2,2,6
الاقتصاد,NA,NA,NA,5,NA,NA
المحاسبة,NA,NA,NA,6,NA,NA
القانون,NA,NA,NA,2,NA,NA
اللغة الأجنبية الثالثة,NA,NA,NA,NA,4,NA
تكنولوجيا مدنية,NA,NA,7,NA,NA,NA
تكنولوجيا ميكانيك,NA,NA,7,NA,NA,NA
تكنولوجيا كهرباء,NA,NA,7,NA,NA,NA
تكنولوجيا طرائق,NA,NA,7,NA,NA,NA
